tick,S,I,R
0,2000,0,0
1,1998,2,0
2,1998,2,0
3,1997,3,0
4,1996,4,0
5,1996,4,0
6,1996,2,2
7,1994,4,2
8,1991,6,3
9,1987,9,4
10,1981,15,4
11,1977,19,4
12,1969,27,4
13,1959,35,6
14,1949,41,10
15,1929,55,16
16,1908,72,20
17,1894,78,28
18,1875,89,36
19,1861,95,44
20,1823,116,61
21,1797,120,83
22,1768,135,97
23,1737,146,117
24,1695,171,134
25,1662,180,158
26,1621,192,187
27,1589,194,217
28,1544,210,246
29,1511,202,287
30,1469,217,314
31,1431,207,362
32,1376,229,395
33,1340,223,437
34,1287,239,474
35,1261,236,503
36,1210,247,543
37,1170,229,601
38,1117,244,639
39,1070,238,692
40,1027,245,728
41,988,240,772
42,951,240,809
43,905,238,857
44,860,237,903
45,833,216,951
46,805,204,991
47,763,210,1027
48,729,200,1071
49,698,184,1118
50,659,187,1154
51,624,195,1181
52,595,188,1217
53,565,184,1251
54,539,174,1287
55,502,174,1324
56,481,159,1360
57,458,147,1395
58,442,136,1422
59,430,121,1449
60,415,108,1477
61,396,98,1506
62,382,86,1532
63,365,83,1552
64,360,78,1562
65,350,74,1576
66,342,67,1591
67,338,52,1610
68,337,35,1628
69,334,28,1638
70,328,25,1647
71,326,20,1654
72,326,14,1660
73,324,13,1663
74,324,11,1665
75,324,6,1670
76,324,2,1674
77,324,2,1674
78,324,2,1674
79,324,0,1676
80,324,0,1676
81,324,0,1676
82,324,0,1676
83,324,0,1676
84,324,0,1676
85,324,0,1676
86,324,0,1676
87,324,0,1676
88,324,0,1676
89,324,0,1676
90,324,0,1676
91,324,0,1676
92,324,0,1676
93,324,0,1676
94,324,0,1676
95,324,0,1676
96,324,0,1676
97,324,0,1676
98,324,0,1676
99,324,0,1676
100,324,0,1676
101,324,0,1676
102,324,0,1676
103,324,0,1676
104,324,0,1676
105,324,0,1676
106,324,0,1676
107,324,0,1676
108,324,0,1676
109,324,0,1676
110,324,0,1676
111,324,0,1676
112,324,0,1676
113,324,0,1676
114,324,0,1676
115,324,0,1676
116,324,0,1676
117,324,0,1676
118,324,0,1676
119,324,0,1676
120,324,0,1676
121,324,0,1676
122,324,0,1676
123,324,0,1676
124,324,0,1676
125,324,0,1676
126,324,0,1676
127,324,0,1676
128,324,0,1676
129,324,0,1676
130,324,0,1676
131,324,0,1676
132,324,0,1676
133,324,0,1676
134,324,0,1676
135,324,0,1676
136,324,0,1676
137,324,0,1676
138,324,0,1676
139,324,0,1676
140,324,0,1676
141,324,0,1676
142,324,0,1676
143,324,0,1676
144,324,0,1676
145,324,0,1676
146,324,0,1676
147,324,0,1676
148,324,0,1676
149,324,0,1676
150,324,0,1676
151,324,0,1676
152,324,0,1676
153,324,0,1676
154,324,0,1676
155,324,0,1676
156,324,0,1676
157,324,0,1676
158,324,0,1676
159,324,0,1676
160,324,0,1676
161,324,0,1676
162,324,0,1676
163,324,0,1676
164,324,0,1676
165,324,0,1676
166,324,0,1676
167,324,0,1676
168,324,0,1676
169,324,0,1676
170,324,0,1676
171,324,0,1676
172,324,0,1676
173,324,0,1676
174,324,0,1676
175,324,0,1676
176,324,0,1676
177,324,0,1676
178,324,0,1676
179,324,0,1676
180,324,0,1676
